post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,"attribute:30 ML","attribute_data:30 ML",attribute:BOLSA,attribute_data:BOLSA,attribute:BOLSAS,attribute_data:BOLSAS,attribute:CAJA,attribute_data:CAJA,attribute:MEDIDAS,attribute_data:MEDIDAS,"attribute:MEDIDAS 30 ML","attribute_data:MEDIDAS 30 ML",attribute:PAQUETES,attribute_data:PAQUETES,attribute:medidas,attribute_data:medidas,attribute:pa_esencias,attribute_data:pa_esencias,attribute:pa_fragancias,attribute_data:pa_fragancias,attribute:pa_gramaje,attribute_data:pa_gramaje,attribute:pa_medidas,attribute_data:pa_medidas,attribute:pa_paquetes,attribute_data:pa_paquetes
"CEPILLO GOLDEN SUAVE CON BASTON",cepillo-golden-suave-con-baston,,485,"Escoba cepillo con cerdas muy suaves, especial para interiores.",,Publicada,,0,"2026-01-23 22:09:02",3,open,,,,no,no,,69,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-golden-suave.png ! alt :  ! title : cepillo golden suave ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-golden-suave-con-baston/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Químicos de Limpieza|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO TIPO MOÑO SUAVE CON BASTON",cepillo-tipo-mono-suave-con-baston,,486,"Cerdas suaves con puntas tipo orzuela para atrapar pelusas y cabellos.",,Publicada,,0,"2026-01-23 22:09:46",3,open,,,,no,no,,66.50,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-tipo-mono.png ! alt :  ! title : cepillo tipo moño ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-tipo-mono-suave-con-baston/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Químicos de Limpieza|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO PISOS FINOS LA REYNERA",cepillo-pisos-finos-la-reynera,,487,"Escoba de Pisos Finos La Reynera diseñada para cuidar de los pisos del hogar sin rayarlos así cómo sus orillas anuladas protegen las paredes.

Sus fibras suaves barren polvo con facilidad. Perfecta para pisos delicados. Tubo de acero.",,Publicada,,0,"2026-01-23 22:10:54",3,open,,,,no,no,,153,133,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-pisos-finos-reynera.png ! alt :  ! title : cepillo pisos finos reynera ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/cepillo-pisos-finos-rey.png ! alt :  ! title : cepillo pisos finos rey ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-pisos-finos-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO TALLA FUERTE LA REYNERA",cepillo-talla-fuerte-la-reynera,,488,"Escoba con fibras rígidas, con su diseño permite un tallado con fuerza y sin tanto esfuerzo. Sus fibras son resistentes a químicos y detergentes; ideales para tallar manchas de grasa o aceite. Tubo de acero.",,Publicada,,0,"2026-01-23 22:12:21",3,open,,,,no,no,,120,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-talla-fuerte-rey.png ! alt :  ! title : cepillo talla fuerte rey ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/cepillo-talla-fuerte-r.png ! alt :  ! title : cepillo talla fuerte r ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-talla-fuerte-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO DUAL LA REYNERA",cepillo-dual-la-reynera,,489,"TUBO METALICO",,Publicada,,0,"2026-01-23 22:12:59",3,open,,,,no,no,,88,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-dual-reynera.png ! alt :  ! title : cepillo dual reynera ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-dual-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Químicos de Limpieza|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO PLANCHA JUMBO",cepillo-plancha-jumbo,,490,"BASE DE CEPILLO DIFERENTES COLORES",,Publicada,,0,"2026-01-23 22:13:41",3,open,,,,no,no,,27,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-plancha-jumbo.png ! alt :  ! title : cepillo plancha jumbo ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-plancha-jumbo/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Restaurantes & Cocinas|Químicos de Limpieza|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO PLANCHA LA REYNERA",cepillo-plancha-la-reynera,,491,"Cepillo para Tallar Tipo Plancha Reynera con cerdas suaves para tallar las superficies delicadas como tela, ropa o superficies rígidas finas.

Su mango ergonómico brinda un agarre mucho más cómodo.

Diseñado con fibras suaves para tallar sin maltratar.",,Publicada,,0,"2026-01-23 22:14:31",3,open,,,,no,no,,31,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-reynera.png ! alt :  ! title : cepillo reynera ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-plancha-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO WC CON TAZON",cepillo-wc-con-tazon,,492,"Cepillo para wc con tazón, variedad de colores",,Publicada,,0,"2026-01-23 22:15:33",3,open,,,,no,no,,38.90,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/ChatGPT-Image-5-feb-2026-16_31_49.png ! alt :  ! title : ChatGPT Image 5 feb 2026, 16_31_49 ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-wc-con-tazon/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO W/C LA REYNERA",cepillo-w-c-la-reynera,,493,"Cepillo de sanitario con tazón la Reynera, color gris.
<h1 id=""main-title"" class=""dark-gray mv1 lh-copy f3 mh0 b"" data-seo-id=""hero-carousel-image"" data-fs-element=""name""></h1>",,Publicada,,0,"2026-01-23 22:16:08",3,open,,,,no,no,,73,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-wc-la-reynera.png ! alt :  ! title : cepillo wc la reynera ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-w-c-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOMBA DESTAPACAÑO",bomba-destapacano,,496,"PAU COLOR NEGRO",,Publicada,,0,"2026-01-23 22:26:40",3,open,,,,no,no,,37,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/detapacano.png ! alt :  ! title : detapacaño ! desc :  ! caption : ",,http://localhost/karmax/product/bomba-destapacano/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOMBA DESTAPACAÑO LA REYNERA",bomba-destapacano-la-reynera,,497,"<span style=""font-weight: 400;"">Diseñada con materiales resistentes y durables, </span><span style=""font-weight: 400;"">cuenta con una excelente flexibilidad para mayor succión, la longitud de su mango evita el contacto de tus manos con el agua y suciedad. </span>",,Publicada,,0,"2026-01-23 22:27:12",3,open,,,,no,no,,78,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/destapacano-reynera.png ! alt :  ! title : destapacaño reynera ! desc :  ! caption : ",,http://localhost/karmax/product/bomba-destapacano-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GUANTES LATEX",guantes-latex,,498,"VARIOS COLORES, BOLSA INLCUIDA",,Publicada,,0,"2026-01-23 22:28:14",3,open,,,,no,no,,25.50,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/GUANTES-LATEX.png ! alt :  ! title : GUANTES LATEX ! desc :  ! caption : ",,http://localhost/karmax/product/guantes-latex/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Bolsas y Manejo de Residuos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JABON EN POLVO ARCOIRIS",jabon-en-polvo-arcoiris,,502,"Arcoiris detergente en polvo multiusos presentación de 9 kg

&nbsp;
<h1 class=""_g0 _g1 _bm _bk _al _bc"" data-testid=""menu-item-title""></h1>",,Publicada,,0,"2026-01-23 22:35:49",3,open,,,,no,no,,279,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/ARCOIRIS.png ! alt :  ! title : ARCOIRIS ! desc :  ! caption : ",,http://localhost/karmax/product/jabon-en-polvo-arcoiris/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Restaurantes & Cocinas|Químicos de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMPIAVIDRIOS,limpiavidrios,,503,"JALADOR LIMPIAVIDRIOS CON MANGO DE MADERA",,Publicada,,0,"2026-01-23 22:36:25",3,open,,,,no,no,,39,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/limpiavidrios.png ! alt :  ! title : limpiavidrios. ! desc :  ! caption : ",,http://localhost/karmax/product/limpiavidrios/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RECOGEDOR LAMINA MEDIANO",recogedor-lamina-mediano,,505,"Recogedor de lámina mediano de uso rudo, reforzado con mango de madera grueso.

Para uso industrial.",,Publicada,,0,"2026-01-23 22:36:55",3,open,,,,no,no,,49,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/recogedor-lamina.jpeg ! alt :  ! title : recogedor lamina ! desc :  ! caption : ",,http://localhost/karmax/product/recogedor-lamina-mediano/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RECOGEDOR CEJA LA REYNERA",recogedor-ceja-la-reynera,,506,"Práctico recogedor que cuenta con una peineta integrada que ayuda a remover los residuos que se quedan atrapados en la escoba, está reforzado con una tira de goma para un mejor control sobre el recogedor.

Gracias a su cabeza abatible, se puede guardar con facilidad y es perfecto para espacios reducidos.",,Publicada,,0,"2026-01-23 22:37:25",3,open,,,,no,no,,88,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/recogedor-ceja-reynera.png ! alt :  ! title : recogedor ceja reynera ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/recogedor-ceja-rey.png ! alt :  ! title : recogedor ceja rey ! desc :  ! caption : ",,http://localhost/karmax/product/recogedor-ceja-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RECOGEDOR PLASTICO",recogedor-plastico,,507,"INCLUYE BASTON DE MADERA",,Publicada,,0,"2026-01-23 22:38:00",3,open,,,,no,no,,39,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/recogedor-plastico-1.png ! alt :  ! title : recogedor plastico ! desc :  ! caption : ",,http://localhost/karmax/product/recogedor-plastico/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JALADOR 50 CMS",jalador-50-cms,,508,"MANGO DE MADERA, MATERIAL RESISTENTE",,Publicada,,0,"2026-01-23 22:38:34",3,open,,,,no,no,,44,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/jalador-50-cm.png ! alt :  ! title : jalador 50 cm ! desc :  ! caption : ",,http://localhost/karmax/product/jalador-50-cms/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JALADOR XL LA REYNERA",jalador-xl-la-reynera,,509,"Jalador de agua para pisos Reynera está diseñado para limpiar superficies y remover el exceso de agua en pisos o superficies del hogar.

Diseñado con una tira de hule reforzada para mejor adherencia; su mango extra largo para una limpieza más cómoda.",,Publicada,,0,"2026-01-23 22:39:06",3,open,,,,no,no,,99,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/jalador-xl-reynera.png ! alt :  ! title : jalador xl reynera ! desc :  ! caption : ",,http://localhost/karmax/product/jalador-xl-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO IXTLE 12"" MEDIANO CON BASTON",cepillo-ixtle-12-mediano-con-baston,,527,"• MATERIAL DE IXTLE",,Publicada,,0,"2026-01-23 22:55:50",3,open,,,,no,no,,62,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-inxtle-con-baston.png ! alt :  ! title : cepillo inxtle con baston ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-ixtle-12-mediano-con-baston/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO IXTLE MANUAL",cepillo-ixtle-manual,,528,"MATERIAL DE IXTLE",,Publicada,,0,"2026-01-23 22:56:24",3,open,,,,no,no,,27,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-inxtle-manual.jpg ! alt :  ! title : cepillo inxtle manual ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/cepillo-inxtle-man.jpg ! alt :  ! title : cepillo inxtle man ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-ixtle-manual/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIBRA MIXTA",fibra-mixta,,529,"<strong>• FIBRA MIXTA GRANDE C/2</strong>",,Publicada,,0,"2026-01-23 22:57:16",3,open,,,,no,no,,7,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/fibra-mixta.jpeg ! alt :  ! title : fibra mixta ! desc :  ! caption : ",,http://localhost/karmax/product/fibra-mixta/,0,,,simple,,"Hoteles & Hospitalidad|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIBRA COCINA COLORES",fibra-cocina-colores,,530,"Fibra para cocina grande. Variedad de colores.",,Publicada,,0,"2026-01-23 22:57:44",3,open,,,,no,no,,7,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/fibra-colores-2.png ! alt :  ! title : fibra colores ! desc :  ! caption : ",,http://localhost/karmax/product/fibra-cocina-colores/,0,,,simple,,"Hoteles & Hospitalidad|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIBRA ALAMBRE",fibra-alambre,,531,"<strong>• MEDIANA</strong>",,Publicada,,0,"2026-01-23 22:58:12",3,open,,,,no,no,,14,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/fibra-alambre.png ! alt :  ! title : fibra alambre ! desc :  ! caption : ",,http://localhost/karmax/product/fibra-alambre/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESPONJA DE AUTO",esponja-de-auto,,532,"Esponja ideal para el lavado de autos con shampoo. Variedad de colores.",,Publicada,,0,"2026-01-23 22:58:42",3,open,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/esponja-de-auto.png ! alt :  ! title : esponja de auto ! desc :  ! caption : ",,http://localhost/karmax/product/esponja-de-auto/,0,,,simple,,"Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIBRA CUADRITELA",fibra-cuadritela,,533,"Fibra cuadritela estropajo multiusos para cocina y baño. Tamaño grande

&nbsp;",,Publicada,,0,"2026-01-23 22:59:16",3,open,,,,no,no,,12,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/fibra-cuadritela.png ! alt :  ! title : fibra cuadritela ! desc :  ! caption : ",,http://localhost/karmax/product/fibra-cuadritela/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOALLA AZUL MULTIUSOS",toalla-azul-multiusos,,534,"ROLLO DE TOALLA PARA LIMPIEZA, MARCA SCOTT SHOP, COLOR AZUL.",,Publicada,,0,"2026-01-23 22:59:39",3,open,,,,no,no,,69,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/tela-azul.png ! alt :  ! title : tela azul ! desc :  ! caption : ",,http://localhost/karmax/product/toalla-azul-multiusos/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TELA MICROFIBRA",tela-microfibra,,535,"<strong>• VARIEDAD DE COLORES</strong>",,Publicada,,0,"2026-01-23 23:00:10",3,open,,,,no,no,,14.90,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/tela-microfibra-colores.png ! alt :  ! title : tela microfibra colores ! desc :  ! caption : ",,http://localhost/karmax/product/tela-microfibra/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PAÑOS REUTILIZABLES LA REYNERA",panos-reutilizables-la-reynera,,536,"<div class=""ui-pdp-container__col col-3 ui-pdp-container--column-center pb-40"">
<div class=""ui-pdp--sticky-wrapper ui-pdp--sticky-wrapper-center"">
<div class=""ui-pdp-container__row"">
<div class=""ui-pdp-container__col col-1 pl-24 pr-24"">
<div class=""ui-pdp-collapsable mt-24 ui-pdp-description-collapse"">
<div class=""ui-pdp-collapsable__container"">
<div id=""description"" class=""ui-pdp-description"">
<p class=""ui-pdp-description__content"" data-testid=""content"">Caja con 20 toallitas de microfibra, prácticas y delgadas para limpiar cualquier superficie. Son reutilizables, se pueden lavar, no dejan marcas ni pelusas, tienen buena absorción para su uso húmedo o mojado y son reciclables. Sustituyen toallas de papel apoyando al medio ambiente.</p>

</div>
</div>
</div>
</div>
</div>
<div class=""ui-pdp-container__row"">
<div class=""ui-pdp-container__col col-1""></div>
</div>
<div class=""ui-pdp-container__row ui-pdp-recommendations-row"">
<div class=""ui-pdp-container__col col-1"">
<div class=""ui-pdp-spot-middle""></div>
</div>
</div>
</div>
</div>
<div class=""ui-pdp-container__col col-1 ui-pdp-container--column-right mt-24 mr-8 pr-16"">
<div class=""ui-pdp--sticky-wrapper ui-pdp--sticky-wrapper-right"">
<div class=""ui-pdp-container__row""><form id=""buybox-form"" class=""ui-pdp-buybox"" method=""get"">
<div>
<div>
<div class=""ui-pdp-media ui-pdp-shipping ui-pdp-shipping--md ui-pdp-shipping--content-action mb-12 ui-pdp-color--BLACK"">
<div class=""ui-pdp-media__body""></div>
</div>
</div>
</div>
</form></div>
</div>
</div>",,Publicada,,0,"2026-01-23 23:00:43",3,open,,,,no,no,,94,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/microfibra-rey.png ! alt :  ! title : microfibra rey ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/microfibra-reynera.png ! alt :  ! title : microfibra reynera ! desc :  ! caption : ",,http://localhost/karmax/product/panos-reutilizables-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TELA MICROFIBRA KIRKLAND",tela-microfibra-kirkland,,537,"Paños de microfibra ultra afelpados y suaves. 1 pieza color amarillo para el cuidado de su auto.

Características: No dejan manchas, no rayan ni dejan pelusas. - Pule y saca brillo. - Limpia mientras se seca. - Limpia sin productos químicos. - Elimina el exceso de cera sin rayar. - Hechas de 80% poliéster y 20% nylon. - Toalla de 40.6cm cuadrada.",,Publicada,,0,"2026-01-23 23:01:12",3,open,,,,no,no,,28,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/tela-kirkland-1.png ! alt :  ! title : tela kirkland ! desc :  ! caption : ",,http://localhost/karmax/product/tela-microfibra-kirkland/,0,,,simple,,"Automotriz|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPO INDUSTRIAL",trapo-industrial,,538,"Paquete 20 kg de trapo industrial",,Publicada,,0,"2026-01-23 23:02:13",3,open,,,,no,no,,760,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/trapo-industrial.png ! alt :  ! title : trapo industrial ! desc :  ! caption : ",,http://localhost/karmax/product/trapo-industrial/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUBETA CON EXPRIMIDOR",cubeta-con-exprimidor,,539,"• CON EXPRIMIDOR DE PLASTICO

• VARIEDAD DE COLORES",,Publicada,,0,"2026-01-23 23:02:52",3,open,,,,no,no,,99,89,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cubeta-exprimidor.png ! alt :  ! title : cubeta exprimidor ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/cubeta-exp-.png ! alt :  ! title : cubeta exp ! desc :  ! caption : ",,http://localhost/karmax/product/cubeta-con-exprimidor/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUBETA CON EXPRIMIDOR LA REYNERA",cubeta-con-exprimidor-la-reynera,,540,"Cubeta con exprimidor la Reynera, cuenta con un diseño ergonómico y cómodo; esta cubeta además tiene un exprimidor integrado para hacer el trapeado más práctico ya que evita que se mojen las manos.",,Publicada,,0,"2026-01-23 23:03:21",3,open,,,,no,no,,169,148,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cubeta-con-exp-reynera.png ! alt :  ! title : cubeta con exp reynera ! desc :  ! caption : ",,http://localhost/karmax/product/cubeta-con-exprimidor-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
